Campaign state,Campaign,Budget,Status,Campaign type,Campaign subtype,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Labels,Est. total conv.
enabled,Wailing Wall Prayer - General,29,eligible,Search Only,All features,47,2345,2.00%,0.62,28.98,2.3,0,0,0.00%,0, --,0
enabled,Wailing Wall Prayer - Europe,50,eligible,Search Only,All features,43,4523,0.95%,0.92,39.72,2.9,0,0,0.00%,0, --,0
enabled,Wailing Wall Prayer - U.S.,100,eligible,Search Only,All features,100,8925,1.12%,1.14,113.54,3.4,1,113.54,1.00%,0, --,1
enabled,Wailing Wall Prayer - South Africa,50,eligible,Search Only,All features,60,3832,1.57%,0.96,57.54,3.4,0,0,0.00%,0, --,0
enabled,Wailing Wall Prayer - India,50,eligible,Search Only,All features,63,4317,1.46%,0.9,56.95,2.5,1,56.95,1.59%,0, --,1
enabled,Western Wall Prayers,0.01,eligible,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0, --,0
enabled,Wailing Wall Prayer - Nigeria,50,eligible,Search Only,All features,38,2414,1.57%,0.86,32.56,2.3,0,0,0.00%,0, --,0
